Main idea,Questions,Self assessment,Claim/Evidence
,,,
Q1 -What your software does,"1.1: Does your website and documentation provide a clear, high-level overview of your software?",3,https://github.com/shantanu109/CSC510_Group25_Project1/blob/main/README.md
,1.2: Does your website and documentation clearly describe the type of user who should use your software?,3,It is mentioned that Every Restaurant will create an account with the application through the sign-up page and login
,1.3: Do you publish case studies to show how your software has been used by yourself and others?,1,No case studies found
Q2 -Your project's and software's identity,2.1: Is the name of your project/software unique?,3,The name given is good and unique
,2.2: Is your project/software name free from trademark violations?,3,The software is free from trademark violation
Q3 - Availability of your software,3.1: Is your software available as a package that can be deployed without building it?,3,Yes all the files are available on Github
,3.2: Is your software available for free?,3,The software is available from free
,"3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",3,
,"3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",3,https://github.com/shantanu109/CSC510_Group25_Project1/tree/main
Q4 - Your software's documentation,4.1: Is your documentation clearly available on your website or within your software?,3,https://github.com/shantanu109/CSC510_Group25_Project1/blob/main/README.md
,"4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",3,https://github.com/shantanu109/CSC510_Group25_Project1/tree/main#installation-guide
,"4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",2,
,"4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",3,README.md has all the instructions
,4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,1,Troubleshooting is not mentioned anywhere
," 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",3,https://github.com/shantanu109/CSC510_Group25_Project1/blob/main/docs/API%20Urls.md
,4.7: Do you store your documentation under revision control with your source code?,1,
,"4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",1,This information is not present in documentation
Q5 - How you support your software,5.1: Does your software describe how a user can get help with using your software?,3,Mentioned in documentation
,"5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",3,Everything is mentioned in the documentation
,5.3: Does your project have an e-mail address or forum that is solely for supporting users?,2,There is no specific email id however the contributors details are given
,5.4: Are e-mails to your support e-mail address received by more than one person?,1,
,5.5: Does your project have a ticketing system to manage bug reports and feature requests?,1,No ticketing system
,"5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",1,
Q6 - Your software's maintainability,6.1: Is your software’s architecture and design modular?,3,"The software is divided into home page, signup page, login page, menu, etc"
,6.2: Does your software use an accepted coding standard or convention?,3,
Q7 - Open standards and your software,"7.1: Does your software allow data to be imported and exported using open data formats?*e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",3,
,"7.2: Does your software allow communications using open communications protocols?*e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",3,HTTP is used
Q8 - Your software's portability,"8.1: Is your software cross-platform compatible?*e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",3,
Q9 - Your software and accessibility,9.1: Does your software adhere to appropriate accessibility conventions or standards?,3,
,9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,3,
Q10 - How you manage your source code,10.1: Is your source code stored in a repository under revision control?,1,
,10.2: Is each source code release a snapshot of the repository?,No,
,10.3: Are releases tagged in the repository?,No,
,"10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",No,
,10.5: Do you back-up your repository?,Yes,
Q11 - Building and installing your software,11.1: Do you provide publicly-available instructions for building your software from the source code?,Yes,https://github.com/shantanu109/CSC510_Group25_Project1/tree/main#installation-guide
,"11.2: Can you build, or package, your software using an automated tool?*e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",No,
,11.3: Do you provide publicly-available instructions for deploying your software?,No,
,11.4: Does your documentation list all third-party dependencies?,Yes,https://github.com/shantanu109/CSC510_Group25_Project1/blob/main/package.json
,11.5: Does your documentation list the version number for all third-party dependencies?,Yes,
,"11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,
,"11.7: Can you download dependencies using a dependency management tool or package manager?*e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)(https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer ",No,
,11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,https://github.com/shantanu109/CSC510_Group25_Project1/tree/main/src/tests
Q12 - How you test your software,12.1: Do you have an automated test suite for your software?*,No,
,12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
,"12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",No,
,12.4: Are your test results publicly visible?*,No,
,12.5: Are all manually-run tests documented?,Yes,
Q13 - How you engage with your community,"13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?*",No,
,"e.g. release announcements, publications, workshops, conference presentations",,
,13.2: Does your website state how many projects and users are associated with your project?,Yes,https://github.com/shantanu109/CSC510_Group25_Project1/tree/main#contributors
,13.3: Do you provide success stories on your website?,No,
,13.4: Do you list your important partners and collaborators on your website?,Yes,
,13.5: Do you list your project's publications on your website or link to a resource where these are available?,No,No publications
,13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
,13.7: Can users subscribe to notifications to changes to your source code repository?,Yes,
,"13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
Q14 - How you manage contributions,"4.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,https://github.com/shantanu109/CSC510_Group25_Project1/blob/main/CONTRIBUTING.md
,14.2: Do you have a contributions policy?,Yes,https://github.com/shantanu109/CSC510_Group25_Project1/blob/main/CONTRIBUTING.md
,14.3: Is your contributions' policy publicly available?,Yes,
,14.4: Do contributors keep the copyright/IP of their contributions?,No,
Q15 - Your software's copyright and licensing,15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,No,
,15.2: Does each of your source code files include a copyright statement?*,No,
,15.3: Does your website and documentation clearly state the licence of your software?*,Yes,https://github.com/shantanu109/CSC510_Group25_Project1/blob/main/LICENSE.md
,15.4: Is your software released under an open source licence?*,Yes,MIT is an open source license
,15.5: Is your software released under an OSI-approved open-source licence?,Yes,
,15.6: Does each of your source code files include a licence header?*,No,
,15.7: Do you have a recommended citation for your software?*,Yes,https://github.com/shantanu109/CSC510_Group25_Project1/blob/main/CITATION.md
Q16 - Your plans for the future,"16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,
,"16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",Yes,https://github.com/shantanu109/CSC510_Group25_Project1/tree/main#funding
,"16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
