Main idea,Questions,Self assessment,Claim/Evidence
,,,
Q1 -What your software does,"1.1: Does your website and documentation provide a clear, high-level overview of your software?",3,The github link has a good overview of the software
,1.2: Does your website and documentation clearly describe the type of user who should use your software?,3,https://github.com/umagnanasundaram2128/SimplyClip#-use-case
,1.3: Do you publish case studies to show how your software has been used by yourself and others?,3,https://github.com/umagnanasundaram2128/SimplyClip/blob/main/Docs/simplyclip_usecases.docx
Q2 -Your project's and software's identity,2.1: Is the name of your project/software unique?,2,"The title ""SimplClip"" doesn't seem to be that related to the project"
,2.2: Is your project/software name free from trademark violations?,3,"Eventhough there are other projects with the same name, the logo seems to be unique"
Q3 - Availability of your software,3.1: Is your software available as a package that can be deployed without building it?,3,It is available on Git for download
,3.2: Is your software available for free?,3,It is free
,"3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",3,All the files are available on Git
,"3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",3,https://github.com/umagnanasundaram2128/SimplyClip
Q4 - Your software's documentation,4.1: Is your documentation clearly available on your website or within your software?,2,The documentation is provided within the github 
,"4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",3,
,"4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",3,
,"4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",3,README.md file has all the tasks that the software can perform
,4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,3,https://github.com/umagnanasundaram2128/SimplyClip/tree/main#interrobang-troubleshooting
," 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",1,No api documentation
,4.7: Do you store your documentation under revision control with your source code?,2,Found few documentation but nothing is mentioned in detail
,"4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",3,They mentioned all the phases with documentation clearly
